Row Labels,Count of App,Sum of Rating,Sum of Reviews,Count of Size,Count of Installs,Count of Type,Sum of Price,Count of Content Rating,Count of Genres
ART_AND_DESIGN,60,261.4,1123914,60,60,60,5.97,60,60
AUTO_AND_VEHICLES,66,274.9,1058837,66,66,66,0,66,66
BEAUTY,39,167.6,231394,39,39,39,0,39,39
BOOKS_AND_REFERENCE,147,635.8,4308699,147,147,147,20.89,147,147
BUSINESS,264,1088.9,6734525,264,264,264,61.4,264,264
COMICS,48,200.3,638282,48,48,48,0,48,48
COMMUNICATION,230,948.4,155009269,230,230,230,45.72,230,230
DATING,183,725.7,4850951,183,183,183,22.96,183,183
EDUCATION,114,501,7623158,114,114,114,17.96,114,114
ENTERTAINMENT,96,396.1,15517095,96,96,96,2.99,96,96
EVENTS,38,169.1,86109,38,38,38,0,38,38
FAMILY,1669,6994.8,324453129,1669,1669,1669,2239.85,1669,1669
FINANCE,269,1105.3,10533504,269,269,269,2439.87,269,269
FOOD_AND_DRINK,86,351.7,4334246,86,86,86,4.99,86,86
GAME,1042,4464.2,1479510486,1042,1042,1042,277.37,1042,1042
HEALTH_AND_FITNESS,227,959.3,12539187,227,227,227,34.42,227,227
HOUSE_AND_HOME,55,229.4,1641911,55,55,55,0,55,55
LIBRARIES_AND_DEMO,61,256.5,995739,61,61,61,0,61,61
LIFESTYLE,283,1155,8326452,283,283,283,1553.41,283,283
MAPS_AND_NAVIGATION,96,384,3781246,96,96,96,14.96,96,96
MEDICAL,327,1367.9,1482485,327,327,327,997.24,327,327
NEWS_AND_MAGAZINES,168,694.6,9769876,168,168,168,0.99,168,168
PARENTING,47,202.1,889572,47,47,47,9.58,47,47
PERSONALIZATION,274,1184.3,34019846,274,274,274,117.81,274,274
PHOTOGRAPHY,260,1082.1,110748481,260,260,260,78.35,260,260
PRODUCTIVITY,251,1042.6,51404771,251,251,251,55.95,251,251
SHOPPING,182,769.5,50172400,182,182,182,5.48,182,182
SOCIAL,183,777.8,35129608,183,183,183,1.98,183,183
SPORTS,265,1116.3,61512225,265,265,265,89.22,265,265
TOOLS,633,2540,104740103,633,633,633,183.6,633,633
TRAVEL_AND_LOCAL,167,675.4,13929520,167,167,167,26.51,167,167
VIDEO_PLAYERS,128,521.5,30533274,128,128,128,2.98,128,128
WEATHER,51,215.8,3540170,51,51,51,23.44,51,51
